11:47:11:894 INFO  SimpleTest.test - INFO
11:47:11:902 DEBUG SimpleTest.test - DEBUG
11:47:11:903 ERROR SimpleTest.test - ERROR
13:15:30:938 INFO  MyLogger.info - Driver init
13:15:32:384 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
13:24:22:418 INFO  MyLogger.info - Driver init
13:24:23:798 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
13:43:14:477 INFO  MyLogger.info - Driver init
13:43:16:125 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
13:53:12:648 INFO  MyLogger.info - Driver init
13:53:14:490 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
14:05:51:209 INFO  MyLogger.info - Driver init
14:05:53:001 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
14:09:08:893 INFO  MyLogger.info - Driver init
14:09:10:656 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
14:21:02:701 INFO  MyLogger.info - Driver init
14:21:04:642 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
14:26:25:862 INFO  MyLogger.info - Driver init
14:26:27:731 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
14:30:01:184 INFO  MyLogger.info - Driver init
14:30:03:375 INFO  MyLogger.info - Navigate to https://mail.yandex.ru/
